id,frag1,frag2,new_smiles
1,*CCOCCOCCOCCOCC,*c1ccc(N(C)C)cc1,CCOCCOCCOCCOCCc1ccc(N(C)C)cc1
2,*N1CCO[C@H](C)C1,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,C[C@@H]1CN(N[C@H]2CO[C@H](CO)[C@@H](O)[C@@H]2O)CCO1
3,*c1nnn[nH]1,*CCOCCOCCO,OCCOCCOCCc1nnn[nH]1
4,*CCOCCOCCOCCOC,*c1c(NCCCCCCO)c(=O)c1=O,COCCOCCOCCOCCc1c(NCCCCCCO)c(=O)c1=O
5,*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,*c1c(NCCCCCCO)c(=O)c1=O,O=C(c1cc(-n2cccn2)cc(C(F)(F)F)c1)c1c(NCCCCCCO)c(=O)c1=O
6,*c1ccccn1,*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,O=[P@H]([O-])OC[C@H]1O[C@@H](c2ccccn2)C[C@@H]1O
7,*[C@@H]1O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]1F,*CCO,O=[P@H]([O-])OC[C@H]1O[C@@H](CCO)[C@@H](F)[C@@H]1O
8,*CCOCCOCCOC,*c1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1,COCCOCCOCCc1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1
9,*C(=O)[C@@H](N)C[C@@H](N)Cc1ccccc1,*CCCCCCO,N[C@@H](Cc1ccccc1)C[C@H](N)C(=O)CCCCCCO
10,*N1CCO[C@H](C)C1,*c1c(NCCOCCO)c(=O)c1=O,C[C@@H]1CN(c2c(NCCOCCO)c(=O)c2=O)CCO1
11,*N(C)C,*[C@H]1C[C@H](O)[C@@H](CO[P@@H](=O)[O-])O1,CN(C)[C@H]1C[C@H](O)[C@@H](CO[P@@H](=O)[O-])O1
12,*c1cccc(NC(=O)c2cc(-n3cccn3)cc(C(F)(F)F)c2)c1,*N1CCO[C@H](C)C1,C[C@@H]1CN(c2cccc(NC(=O)c3cc(-n4cccn4)cc(C(F)(F)F)c3)c2)CCO1
13,*CCOCCOCCOC,*c1ccccn1,COCCOCCOCCc1ccccn1
14,*C(=O)c1ccccc1[SeH],*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,O=C(C(=O)c1ccccc1[SeH])c1cc(-n2cccn2)cc(C(F)(F)F)c1
15,*CCOCCOCCOCCOC,*CCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCCCOCCOCCOCCOCCOCCO
16,*n1c(Cl)nc2c(=O)[nH]c(N)nc21,*c1ccccn1,Nc1nc2c(nc(Cl)n2-c2ccccn2)c(=O)[nH]1
17,*n1c2c([n+](CCOC)c1C)C(=O)c1ccccc1C2=O,*Cc1cnccn1,COCC[n+]1c2c(n(Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O
18,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,*Nc1ccccc1,Cc1cc(C)nc(C(N)=Nc2nc(Nc3ccccc3)cc3ccccc23)n1
19,*CCNCCO,*N(C)C,CN(C)CCNCCO
20,*CCCCCCO,*n1cccn1,OCCCCCCn1cccn1
21,*C(=O)c1ccccc1[SeH],*CCOCCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCOCCC(=O)c1ccccc1[SeH]
22,*CCO,*CCOCCOCCOCCOCCOCCOCCO,OCCCCOCCOCCOCCOCCOCCOCCO
23,*Cc1cnccn1,*N1C=CCC(C(N)=O)=C1,NC(=O)C1=CN(Cc2cnccn2)C=CC1
24,*c1nnn[nH]1,*O,Oc1nnn[nH]1
25,*CCOCCOCCOCCOCC,*n1cc(C(=O)[O-])c(N)nc1=O,CCOCCOCCOCCOCCn1cc(C(=O)[O-])c(N)nc1=O
26,*n1c[n+](Cc2ccccc2)c2c(=O)[nH]c(N)nc21,*CCOCCO,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccccc1)cn2CCOCCO
27,*Nc1ccccc1,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,OC[C@H]1OC[C@H](NNc2ccccc2)[C@@H](O)[C@@H]1O
28,*c1ccccn1,*[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1,O=[P@@H]([O-])OCC1=C(O)C[C@@H](c2ccccn2)O1
29,*c1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1,*CCOCCOCC,CCOCCOCCc1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1
30,*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,*CCOCCOC,COCCOCC[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1
31,*c1cccc(C)c1C,*CCOCCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCOCCc1cccc(C)c1C
32,*Cc1cnccn1,*N(C)C,CN(C)Cc1cnccn1
33,*CCOCCOCCOCCOC,*C(=O)COC,COCCOCCOCCOCCC(=O)COC
34,*CCOCCOCC,*CCOC,CCOCCOCCCCOC
35,*CCOCCOCCOCCOCCOCCO,*N1C=CCC(C(N)=O)=C1,NC(=O)C1=CN(CCOCCOCCOCCOCCOCCO)C=CC1
36,*C(=O)COC,*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,COCC(=O)C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1
37,*Cc1cnccn1,*C(=O)[C@@H](N)Cc1ccccc1,N[C@@H](Cc1ccccc1)C(=O)Cc1cnccn1
38,*c1nnn[nH]1,*c1ccccn1,c1ccc(-c2nnn[nH]2)nc1
39,*n1cccn1,*OC,COn1cccn1
40,*C(=O)c1ccc(S)cc1,*c1nnn[nH]1,O=C(c1ccc(S)cc1)c1nnn[nH]1
41,*Cc1cnccn1,*c1c(NCCCCCCO)c(=O)c1=O,O=c1c(Cc2cnccn2)c(NCCCCCCO)c1=O
42,*OC,*c1cccc(NC(=O)c2cc(-n3cccn3)cc(C(F)(F)F)c2)c1,COc1cccc(NC(=O)c2cc(-n3cccn3)cc(C(F)(F)F)c2)c1
43,*n1cccn1,*NCc1nc2ccccc2[nH]1,c1ccc2[nH]c(CNn3cccn3)nc2c1
44,*CCOCCOC,*c1nc(N)[nH]c(=O)c1NC=O,COCCOCCc1nc(N)[nH]c(=O)c1NC=O
45,*N1CCO[C@H](C)C1,*Cc1cnccn1,C[C@@H]1CN(Cc2cnccn2)CCO1
46,*N1C=CCC(C(N)=O)=C1,*c1c(NCCCCCCO)c(=O)c1=O,NC(=O)C1=CN(c2c(NCCCCCCO)c(=O)c2=O)C=CC1
47,*CCOCCOCCOCCOCCOCCOCCOCC,*c1ccccc1C(=O)O,CCOCCOCCOCCOCCOCCOCCOCCc1ccccc1C(=O)O
48,*n1cc(C(=O)[O-])c(N)nc1=O,*c1ccccn1,Nc1nc(=O)n(-c2ccccn2)cc1C(=O)[O-]
49,*N1CCCCCC1,*CCOCCO,OCCOCCN1CCCCCC1
50,*[C@@H]1O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]1F,*n1c2c([n+](CCOC)c1C)C(=O)c1ccccc1C2=O,COCC[n+]1c2c(n([C@@H]3O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]3F)c1C)C(=O)c1ccccc1C2=O
51,*n1cnc2c(N)nccc21,*C(=O)c1ccccc1Nc1cccc(C)c1C,Cc1cccc(Nc2ccccc2C(=O)n2cnc3c(N)nccc32)c1C
52,*n1cccn1,*c1cccc(C)c1C,Cc1cccc(-n2cccn2)c1C
53,*CCOCCO,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,Cc1cc(C)nc(C(N)=Nc2nc(CCOCCO)cc3ccccc23)n1
54,*c1ccc(N(C)C)cc1,*CCOCCOCCOCCOCCOCCOCCO,CN(C)c1ccc(CCOCCOCCOCCOCCOCCOCCO)cc1
55,*C(=O)c1ccccc1Nc1cccc(C)c1C,*n1c(Cl)nc2c(=O)[nH]c(N)nc21,Cc1cccc(Nc2ccccc2C(=O)n2c(Cl)nc3c(=O)[nH]c(N)nc32)c1C
56,*N1CCO[C@H](C)C1,*N1C=CCC(C(N)=O)=C1,C[C@@H]1CN(N2C=CCC(C(N)=O)=C2)CCO1
57,*c1cccc(C)c1C,*C(=O)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1,Cc1cccc(C(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1C
58,*CCOCCOCCOCCO,*CCOCCOCCOCCOCCO,OCCOCCOCCOCCCCOCCOCCOCCOCCO
59,*c1cccc(C)c1C,*CCOCCOCC,CCOCCOCCc1cccc(C)c1C
60,*CC[C@@H](N)C(=O)[O-],*Nc1cccc(-c2nnn[nH]2)c1,N[C@H](CCNc1cccc(-c2nnn[nH]2)c1)C(=O)[O-]
61,*CCOCCOCCOC,*n1cccn1,COCCOCCOCCn1cccn1
62,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,*CCOCCOCCOCCOCC,CCOCCOCCOCCOCCc1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1
63,*CCOC,*CCOCCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCOCCCCOC
64,*C(=O)c1ccccc1[SeH],*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,O=C(c1ccccc1[SeH])[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1
65,*c1ccc(N(C)C)cc1,*CCOCCOCCOCC,CCOCCOCCOCCc1ccc(N(C)C)cc1
66,*C(=O)c1ccccc1[SeH],*O,O=C(O)c1ccccc1[SeH]
67,*N1CCCCCC1,*NC,CNN1CCCCCC1
68,*C(=O)[C@@H](N)Cc1ccccc1,*CCO,N[C@@H](Cc1ccccc1)C(=O)CCO
69,*c1cccc(NC(=O)c2cc(-n3cccn3)cc(C(F)(F)F)c2)c1,*C(=O)[C@@H](N)Cc1ccccc1,N[C@@H](Cc1ccccc1)C(=O)c1cccc(NC(=O)c2cc(-n3cccn3)cc(C(F)(F)F)c2)c1
70,*N1CCCCCC1,*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,O=[P@H]([O-])OC[C@H]1O[C@@H](N2CCCCCC2)C[C@@H]1O
71,*C(=O)COC,*C(=O)c1cc(-c2ccccn2)cc(C(F)(F)F)c1,COCC(=O)C(=O)c1cc(-c2ccccn2)cc(C(F)(F)F)c1
72,*CCOCCOCCOCCO,*OC,COCCOCCOCCOCCO
73,*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,*c1ccc(N(C)C)cc1,CN(C)c1ccc(C(=O)c2cc(-n3cccn3)cc(C(F)(F)F)c2)cc1
74,*[C@H]1C[C@H](O)[C@@H](CO[P@@H](=O)[O-])O1,*c1ccccn1,O=[P@@H]([O-])OC[C@H]1O[C@@H](c2ccccn2)C[C@@H]1O
75,*C(=O)c1ccc(S)cc1,*C(=O)c1ccccc1[SeH],O=C(C(=O)c1ccccc1[SeH])c1ccc(S)cc1
76,*C(=O)c1ccc(S)cc1,*NC,CNC(=O)c1ccc(S)cc1
77,*N1CCO[C@H](C)C1,*c1sc2cc(C)ccc2[n+]1C,Cc1ccc2c(c1)sc(N1CCO[C@H](C)C1)[n+]2C
78,*C(=O)COC,*CCOCCOCCOC,COCCOCCOCCC(=O)COC
79,*N1C=CCC(C(N)=O)=C1,*CCOCCOCCOCCOC,COCCOCCOCCOCCN1C=CCC(C(N)=O)=C1
80,*Cc1cnccn1,*N1CCCCCC1,c1cnc(CN2CCCCCC2)cn1
81,*C(=O)c1ccc(S)cc1,*c1nc(N)[nH]c(=O)c1NC=O,Nc1nc(C(=O)c2ccc(S)cc2)c(NC=O)c(=O)[nH]1
82,*C(=O)c1ccccc1Nc1cccc(C)c1C,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,Cc1cccc(Nc2ccccc2C(=O)N[C@H]2CO[C@H](CO)[C@@H](O)[C@@H]2O)c1C
83,*c1cccc(C)c1C,*CCOCCOCCOCCOC,COCCOCCOCCOCCc1cccc(C)c1C
84,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,*CCS,Cc1cc(C)nc(C(N)=Nc2nc(CCS)cc3ccccc23)n1
85,*C(=O)c1ccnc2[nH]c(O)nc12,*CCOC,COCCC(=O)c1ccnc2[nH]c(O)nc12
86,*c1ccc(N(C)C)cc1,*CCNc1c(NCCCCCCO)c(=O)c1=O,CN(C)c1ccc(CCNc2c(NCCCCCCO)c(=O)c2=O)cc1
87,*N(C)C,*CCOCCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCOCCN(C)C
88,*CCOCCOCCOCCOCCOCCOCCOCC,*c1ccc(N(C)C)cc1,CCOCCOCCOCCOCCOCCOCCOCCc1ccc(N(C)C)cc1
89,*CCOCCOCC,*Nc1ccccc1,CCOCCOCCNc1ccccc1
90,*C(=O)c1ccccc1[SeH],*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,O=C(N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O)c1ccccc1[SeH]
91,*NCc1nc2ccccc2[nH]1,*CC[C@@H](N)C(=O)[O-],N[C@H](CCNCc1nc2ccccc2[nH]1)C(=O)[O-]
92,*n1cnc2c(N)nccc21,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,Nc1nccc2c1ncn2N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O
93,*C(=O)c1ccc(S)cc1,*CCCCCCO,O=C(CCCCCCO)c1ccc(S)cc1
94,*CCOCCOCCOCCOCCOCCO,*C(=O)c1ccccc1[SeH],O=C(CCOCCOCCOCCOCCOCCO)c1ccccc1[SeH]
95,*n1c(Cl)nc2c(=O)[nH]c(N)nc21,*NCc1nc2ccccc2[nH]1,Nc1nc2c(nc(Cl)n2NCc2nc3ccccc3[nH]2)c(=O)[nH]1
96,*CCOCCOC,*CCOCCOCCO,COCCOCCCCOCCOCCO
97,*N(C)C,*N1CCCCCC1,CN(C)N1CCCCCC1
98,*O,*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,O=C(O)c1cc(-n2cccn2)cc(C(F)(F)F)c1
99,*N1CCCCCC1,*NCc1nc2ccccc2[nH]1,c1ccc2[nH]c(CNN3CCCCCC3)nc2c1
100,*N1CCCCCC1,*c1nnn[nH]1,C1CCCN(c2nnn[nH]2)CC1
101,*Nc1ccccc1,*C(=O)c1ccccc1[SeH],O=C(Nc1ccccc1)c1ccccc1[SeH]
102,*CCCCCCO,*CCOCCOCCO,OCCCCCCCCOCCOCCO
103,*c1c(NCCCCCCO)c(=O)c1=O,*C(C)=O,CC(=O)c1c(NCCCCCCO)c(=O)c1=O
104,*C(=O)c1ccnc2[nH]c(O)nc12,*n1c2c([n+](CCOC)c1C)C(=O)c1ccccc1C2=O,COCC[n+]1c2c(n(C(=O)c3ccnc4[nH]c(O)nc34)c1C)C(=O)c1ccccc1C2=O
105,*C(=O)[C@@H](N)Cc1ccccc1,*CCOCCOCCOCCOCCO,N[C@@H](Cc1ccccc1)C(=O)CCOCCOCCOCCOCCO
106,*CCOCCOCCOCCOCCOCCOCCO,*C(=O)COC,COCC(=O)CCOCCOCCOCCOCCOCCOCCO
107,*CCS,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,OC[C@H]1OC[C@H](NCCS)[C@@H](O)[C@@H]1O
108,*CCO,*CCNc1c(NCCCCCCO)c(=O)c1=O,O=c1c(NCCCCO)c(NCCCCCCO)c1=O
109,*N1CCCCCC1,*Nc1cccc(-c2nnn[nH]2)c1,c1cc(NN2CCCCCC2)cc(-c2nnn[nH]2)c1
110,*c1c(NCCOCCO)c(=O)c1=O,*CCOC,COCCc1c(NCCOCCO)c(=O)c1=O
111,*c1cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)cc(C(F)(F)F)c1,*CCNCCO,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(CCNCCO)cc(C(F)(F)F)c1
112,*C(=O)[C@@H](N)C[C@@H](N)Cc1ccccc1,*C=O,N[C@@H](Cc1ccccc1)C[C@H](N)C(=O)C=O
113,*c1ccc(N(C)C)cc1,*c1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1,CN(C)c1ccc(-c2cccc(NC(=O)c3cc(-c4nnn[nH]4)cc(C(F)(F)F)c3)c2)cc1
114,*CCOC,*[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1,COCC[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1
115,*NC,*c1cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)cc(C(F)(F)F)c1,CNc1cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)cc(C(F)(F)F)c1
116,*CC[C@@H](N)C(=O)[O-],*CCNCCO,N[C@H](CCCCNCCO)C(=O)[O-]
117,*CCOCCOCCO,*CCOCCOCCOCCOCCOCCO,OCCOCCOCCCCOCCOCCOCCOCCOCCO
118,*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,*CCO,O=C(CCO)c1cc(-n2cccn2)cc(C(F)(F)F)c1
119,*CCOCCOCCOCCOCCOCCOCCOCC,*N(C)C,CCOCCOCCOCCOCCOCCOCCOCCN(C)C
120,*O,*N1CCO[C@H](C)C1,C[C@@H]1CN(O)CCO1
121,*n1cccn1,*NC,CNn1cccn1
122,*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,*OC,COC(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1
123,*c1ccccc1C(=O)O,*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,O=C(O)c1ccccc1[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1
124,*CCOCC,*CCOCCOCCOCCOCCOCCO,CCOCCCCOCCOCCOCCOCCOCCO
125,*n1cccn1,*c1sc2cc(C)ccc2[n+]1C,Cc1ccc2c(c1)sc(-n1cccn1)[n+]2C
126,*N1C=CCC(C(N)=O)=C1,*C(C)=O,CC(=O)N1C=CCC(C(N)=O)=C1
127,*C(C)=O,*NC,CNC(C)=O
128,*c1ccccc1C(=O)O,*CCOCCOC,COCCOCCc1ccccc1C(=O)O
129,*[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1,*C(=O)c1cc(-c2ccccn2)cc(C(F)(F)F)c1,O=C(c1cc(-c2ccccn2)cc(C(F)(F)F)c1)[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1
130,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,*n1cccn1,Cc1cc(C)nc(C(N)=Nc2nc(-n3cccn3)cc3ccccc23)n1
131,*N1C=CCC(C(N)=O)=C1,*C(=O)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1,NC(=O)C1=CN(C(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)C=CC1
132,*CCOCCOCCOCCOCCOCCOCCO,*C(=O)c1ccccc1[SeH],O=C(CCOCCOCCOCCOCCOCCOCCO)c1ccccc1[SeH]
133,*C=O,*n1cnc2c(N)ncnc21,Nc1ncnc2c1ncn2C=O
134,*CCOCCO,*CCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCCCOCCO
135,*n1c(Cl)nc2c(=O)[nH]c(N)nc21,*CCOCCOCCO,Nc1nc2c(nc(Cl)n2CCOCCOCCO)c(=O)[nH]1
136,*CCOCCOCCOCCOCCOCCOCCO,*C=O,O=CCCOCCOCCOCCOCCOCCOCCO
137,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,*CCOC,COCCN[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O
138,*CCS,*c1ccccn1,SCCc1ccccn1
139,*CCNc1c(NCCCCCCO)c(=O)c1=O,*CCCCCCO,O=c1c(NCCCCCCO)c(NCCCCCCCCO)c1=O
140,*CCOCCO,*NC,CNCCOCCO
141,*C(C)=O,*n1c[n+](Cc2ccccc2)c2c(=O)[nH]c(N)nc21,CC(=O)n1c[n+](Cc2ccccc2)c2c(=O)[nH]c(N)nc21
142,*CCOCC,*c1ccc(NCCNCCO)c2c1C(=O)c1c(O)ccc(O)c1C2=O,CCOCCc1ccc(NCCNCCO)c2c1C(=O)c1c(O)ccc(O)c1C2=O
143,*CCOCCOCCOCCOCCOCCO,*C(=O)c1ccccc1Nc1cccc(C)c1C,Cc1cccc(Nc2ccccc2C(=O)CCOCCOCCOCCOCCOCCO)c1C
144,*CCOCCOCC,*CCCCCCO,CCOCCOCCCCCCCCO
145,*[C@@H]1O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]1F,*CCOCCOCCO,O=[P@H]([O-])OC[C@H]1O[C@@H](CCOCCOCCO)[C@@H](F)[C@@H]1O
146,*c1ccccc1C(=O)O,*C(=O)c1ccnc2[nH]c(O)nc12,O=C(O)c1ccccc1C(=O)c1ccnc2[nH]c(O)nc12
147,*CCOCCO,*c1ccc(N(C)C)cc1,CN(C)c1ccc(CCOCCO)cc1
148,*CCNc1c(NCCCCCCO)c(=O)c1=O,*CCS,O=c1c(NCCCCS)c(NCCCCCCO)c1=O
149,*C(=O)c1ccnc2[nH]c(O)nc12,*CCOCCOCCO,O=C(CCOCCOCCO)c1ccnc2[nH]c(O)nc12
150,*C(=O)c1cc(-c2ccccn2)cc(C(F)(F)F)c1,*OC,COC(=O)c1cc(-c2ccccn2)cc(C(F)(F)F)c1
151,*CCOCCOCCOCCOC,*n1cccn1,COCCOCCOCCOCCn1cccn1
152,*CCS,*[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1,O=[P@@H]([O-])OCC1=C(O)C[C@@H](CCS)O1
153,*CCNc1c(NCCCCCCO)c(=O)c1=O,*CCOCCOCCOCCOCC,CCOCCOCCOCCOCCCCNc1c(NCCCCCCO)c(=O)c1=O
154,*CCOCCOCCOCCO,*CCS,OCCOCCOCCOCCCCS
155,*c1c(NCCOCCO)c(=O)c1=O,*CCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCc1c(NCCOCCO)c(=O)c1=O
156,*Nc1cccc(-c2nnn[nH]2)c1,*C(=O)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1
157,*CCOCCOCCOCCOC,*N1CCCCCC1,COCCOCCOCCOCCN1CCCCCC1
158,*C(=O)[C@@H](N)C[C@@H](N)Cc1ccccc1,*c1ccc(N(C)C)cc1,CN(C)c1ccc(C(=O)[C@@H](N)C[C@@H](N)Cc2ccccc2)cc1
159,*C(=O)c1ccccc1[SeH],*c1ccccc1C(=O)O,O=C(O)c1ccccc1C(=O)c1ccccc1[SeH]
160,*CCOCC,*c1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1,CCOCCc1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1
161,*c1nnn[nH]1,*CCOCCOCCOCCOCCOCCOCCO,OCCOCCOCCOCCOCCOCCOCCc1nnn[nH]1
162,*CCOCCOCCOCCOCCOCCOCCOCC,*Cc1cnccn1,CCOCCOCCOCCOCCOCCOCCOCCCc1cnccn1
